icao,name,lat,lon
NO-0110,Frigg QP Platform,59.8782997131,2.06500005722
PT-0080,Pista da Barragem do Roxo,37.932487,-8.08362
PT-0096,Nossa Senhora de Machede Airstrip,38.599527,-7.820549
RO-0068,Onești Chemical Plant Heliport,46.24885,26.81342
RU-0155,Seltso Airfield,59.617443,29.542865
SI-0019,Črnotiče Airfield,45.557193,13.91304
SK-0097,Kráľová pri Senci Airfield,48.201094,17.472467
TR-0048,Istanbul Training and Research Hospital Helipad,41.003,28.93821
TR-0094,Bozyazı Forest Depot Helipad,36.093271,32.934434
UA-0146,Aeroclub Swallow,48.81223,26.022577
UA-9886,Davydkovtsy Heliport,49.42165,27.149767
AM-0004,Berd Airport,40.9254056063,45.4614043236
AT-0048,Patergassen Heliport,46.819442749023,13.857221603394
BG-0062,Knezha Airstrip,43.546246,24.094756
CZ-0266,Nový Jičín Airstrip,49.63195,18.12781
CZ-0281,Bitozeves Airfield,50.372723,13.633981
DE-0038,Utscheid Glider Field,49.997778,6.342778
DE-0362,Hagen-Hof-Wahl Airfield,51.307116,7.426994
DE-0733,Sankt Joseph Hospital Prüm Heliport,50.21311,6.41131
DE-0836,Rheinhessen Specialty Hospital Alzey Heliport,49.74042,8.128
DK-0053,Elsesminde Airfield,55.93825,10.24296
EDAM,Merseburg Airfield,51.362564,11.94113
EDLR,Paderborn-Haxterberg Airfield,51.688332,8.775278
EDON,Neuhardenberg Marxwalde Airfield,52.613056,14.242778
EFLN,Lieksa Nurmes Airfield,63.511902,29.6292
EFRO,Rovaniemi Airport,66.563327,25.829751
EG-0053,Abu Rudeis Heliport,28.89852,33.18131
EHQN,Hollandse Kust Noord Heliport,52.65389,4.26194
ENRS,Røst Airport,67.526482,12.101575
FR-0087,Flins Heliport,48.97903,1.84782
FR-0228,Grenoble North University Hospital Heliport,45.200199,5.744192
FR-0306,Thorame-Haute Les Serres Altisurface,44.123055,6.56
FR-0671,Mounier Haut Airfield,46.027222,3.668611
FR-0763,Laville-aux-Bois Airfield,48.092778,5.201944
FR-0805,Le Peuch Airfield,44.900278,3.106667
FR-0821,Sète ULM Airfield,43.4,3.654722
FR-0889,Maupas Airfield,43.830556,-0.123611
FR-0968,Poix de Picardie Airfield,49.780278,2.001944
FR-0970,Saint Coutant Airfield,46.018889,0.433056
GB-0177,Great Oakley Airfield,51.912343,1.182142
GB-0276,Lower Grounds Farm Airstrip,52.735708,-2.601444
GB-0400,Lamb Holm Airfield,58.8876,-2.89184
GB-0501,Northorpe Fen Airstrip,52.745478,-0.342343
GB-0680,Manor Farm Airstrip,52.468861,-0.314033
GB-0713,Croft Farm Airstrip,54.4579,-1.5608
GB-0809,Little Haugh Hall Private Airfield,52.2603,0.8502
GB-0814,Grove Farm Airstrip,52.5,1.5398
GB-0844,New Farm Airstrip,51.391,-2.677
GB-0915,Bernwood Farm Airstrip,51.911807,-0.935533
