rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
32,LIEA,65.0,65.0,100.0,0.0,0.0,600.0,,-190.0,-145.0,-90.0,0.0,23.000000000000007,,,,,,,,,,,100.0,190.0,26.153846153846153,,96.92307692307692,1.5384615384615385,1.5384615384615385,66.0,66.0,100.0,0.0,0.0,,,285.0,344.25,376.0,420.0,452.5,,,,,,,,,,,376.0,452.5,0.0,,96.96969696969697,1.5151515151515151,1.5151515151515151,0.0,nm_inferred,66.0,100.0,,Alghero-Fertilia Airport,40.632099,8.29077
33,LEAS,65.0,65.0,100.0,0.0,0.0,300.0,,250.0,270.0,330.0,380.0,454.0,,,,,,,,,,,330.0,454.0,100.0,,92.3076923076923,6.153846153846154,1.5384615384615385,65.0,65.0,100.0,0.0,0.0,,,-713.8,-631.0,-486.0,-369.0,-320.59999999999997,,,,,,,,,,,486.0,713.8,100.0,,98.46153846153847,0.0,1.5384615384615385,0.0,nm_inferred,65.0,100.0,,Asturias Airport,43.563599,-6.03462
34,LYPG,65.0,65.0,100.0,0.0,0.0,600.0,,337.0,390.0,485.0,575.0,1021.0,,,,,,,,,,,485.0,1021.0,100.0,,98.46153846153847,1.5384615384615385,0.0,65.0,65.0,100.0,0.0,0.0,,,-1111.2,-902.0,-588.0,-464.0,-406.4,,,,,,,,,,,588.0,1111.2,100.0,,96.92307692307692,3.076923076923077,0.0,0.0,nm_inferred,65.0,100.0,,Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519
35,EDFH,59.0,59.0,100.0,0.0,0.0,900.0,,45.0,60.0,75.0,90.0,101.00000000000001,,,,,,,,,,,75.0,101.00000000000001,100.0,,94.91525423728814,5.084745762711864,0.0,62.0,62.0,100.0,0.0,0.0,,,165.2,179.25,193.5,205.75,236.8,,,,,,,,,,,193.5,236.8,1.6129032258064515,,95.16129032258064,4.838709677419355,0.0,0.0,nm_inferred,62.0,100.0,,Frankfurt-Hahn Airport,49.946353,7.261734
36,LYTV,61.0,61.0,100.0,0.0,0.0,600.0,,450.0,495.0,550.0,675.0,940.0,,,,,,,,,,,550.0,940.0,100.0,,96.72131147540983,3.278688524590164,0.0,62.0,62.0,100.0,0.0,0.0,,,-1433.6,-863.25,-611.0,-508.25,-429.8,,,,,,,,,,,611.0,1433.5999999999997,100.0,,93.54838709677419,6.451612903225806,0.0,0.0,nm_inferred,62.0,100.0,,Tivat Airport,42.404701,18.723301
37,ENAL,60.0,60.0,100.0,0.0,0.0,300.0,,512.0,599.0,770.0,1032.75,1224.5,,,,,,,,,,,770.0,1224.5,100.0,,98.33333333333333,1.6666666666666667,0.0,61.0,61.0,100.0,0.0,0.0,,,-1045.0,-880.0,-777.0,-691.0,-601.0,,,,,,,,,,,777.0,1045.0,100.0,,98.36065573770492,0.0,1.639344262295082,0.0,nm_inferred,61.0,100.0,,Ålesund Airport,62.560443,6.110845
38,LFKB,59.0,59.0,100.0,0.0,0.0,360.0,,115.0,150.0,165.0,207.5,231.0,,,,,,,,,,,165.0,231.0,100.0,,100.0,0.0,0.0,60.0,60.0,100.0,0.0,0.0,,,-220.0,-148.5,-24.5,32.25,106.80000000000001,,,,,,,,,,,74.5,220.0,61.666666666666664,,100.0,0.0,0.0,0.0,nm_inferred,60.0,100.0,,Bastia-Poretta International airport,42.5527,9.48373
39,SBGR,55.0,55.0,100.0,0.0,0.0,600.0,,25842.0,27050.0,29693.0,30417.5,35436.0,,,,,,,,,,,29693.0,35436.0,100.0,,100.0,0.0,0.0,58.0,58.0,100.0,0.0,0.0,,,-36321.4,-34422.25,-32252.0,-30276.5,-28095.899999999998,,,,,,,,,,,32252.0,36321.4,100.0,,87.93103448275862,12.068965517241379,0.0,0.0,nm_inferred,58.0,100.0,,,,
40,UTTT,58.0,58.0,100.0,0.0,0.0,0.0,,7528.0,7701.25,7897.5,9003.75,15529.000000000004,,,,,,,,,,,7897.5,15529.000000000004,100.0,,53.44827586206897,46.55172413793103,0.0,55.0,55.0,100.0,0.0,0.0,,,-13815.0,-12943.5,-7692.0,-7414.0,-7130.2,,,,,,,,,,,7692.0,13815.0,100.0,,63.63636363636363,36.36363636363637,0.0,0.0,nm_inferred,58.0,100.0,,,,
41,LOWG,53.0,53.0,100.0,0.0,0.0,180.0,,-623.0,-520.0,-400.0,-235.0,3.000000000000149,,,,,,,,,,,400.0,623.0,11.320754716981131,,96.22641509433963,1.8867924528301887,1.8867924528301887,57.0,57.0,100.0,0.0,0.0,,,409.0,475.0,505.0,535.0,569.0,,,,,,,,,,,505.0,579.0,1.7543859649122806,,100.0,0.0,0.0,0.0,nm_inferred,57.0,100.0,,Graz Airport,46.9911,15.4396
