rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,name,lat,lon,coverage_index
32,LEVC,355.0,353.0,99.43661971830986,0.0,100.0,659.0,-437.0,-249.0,-80.0,-15.0,1.6000000000000227,0.0,0.02403846153846154,0.13185530921820304,0.389988358556461,0.6883789947004979,134.0,492.40000000000003,11.048158640226628,3.1161473087818696,97.74647887323944,1.408450704225352,0.28169014084507044,357.0,354.0,99.15966386554622,0.0,98.8795518207283,214.0,318.0,344.0,360.0,424.75,488.0,0.9936945667170357,1.0,1.0,1.0,1.0,360.0,488.7,0.5649717514124294,91.42857142857143,96.35854341736695,2.5210084033613445,0.2801120448179272,100.0,apdf,357.0,99.29814179192803,Valencia Airport,39.489162,-0.480961,0.5619556449134784
33,ENGM,930.0,924.0,99.35483870967742,24.0,99.56989247311829,660.0,-401.0,-221.0,-86.0,-21.0,9.0,0.0,0.0375,0.12290209790209791,0.35041666666666665,0.5184126984126984,86.0,409.5000000000002,12.878787878787879,2.0089285714285716,95.59139784946237,3.4408602150537635,0.3225806451612903,934.0,930.0,99.57173447537473,0.0,99.46466809421841,180.0,218.0,241.0,274.0,394.75,517.0,0.7458333333333333,1.0,1.0,1.0,1.0,274.0,524.1,2.4731182795698925,80.02159827213823,95.71734475374733,3.5331905781584583,0.32119914346895073,99.56989247311829,apdf,934.0,99.46328659252607,Oslo-Gardermoen International Airport,60.193901,11.1004,0.5584376658949257
34,LFBO,293.0,292.0,99.65870307167235,0.0,95.56313993174061,600.0,-151.0,-81.0,-11.0,29.0,49.0,0.0,0.0,0.02164351851851852,0.14074074074074075,0.25166666666666665,46.0,161.0,44.863013698630134,0.35714285714285715,97.26962457337883,1.023890784982935,1.3651877133105803,291.0,290.0,99.65635738831615,0.0,95.53264604810997,240.0,274.5,303.0,327.0,364.25,501.30000000000007,0.8522222222222222,1.0,1.0,1.0,1.0,327.0,501.30000000000007,1.3793103448275863,87.00361010830325,97.2508591065292,0.6872852233676976,1.7182130584192439,95.56313993174061,apdf,293.0,99.65753022999425,Toulouse-Blagnac Airport,43.629101,1.36382,0.5090723491551847
35,EDDM,1560.0,1557.0,99.8076923076923,0.0,100.0,780.0,-617.9999999999999,-346.0,-1.0,34.0,54.0,0.0,0.0,0.0015151515151515152,0.45606060606060606,0.725538461538463,69.0,661.0,49.518304431599226,4.752729608220938,93.3974358974359,6.0256410256410255,0.38461538461538464,1543.0,1541.0,99.8703823720026,0.0,100.0,360.0,296.0,321.0,449.0,627.0,734.0,0.6416666666666667,0.9222222222222223,1.0,1.0,1.0,470.0,748.0,1.5574302401038287,73.26411421155095,94.36163318211277,5.119896305897602,0.38885288399222295,100.0,apdf,1560.0,99.83903733984745,Munich Airport,48.353802,11.7861,0.4999515430427209
36,LPPT,984.0,983.0,99.89837398373983,0.0,99.89837398373984,840.0,-865.0,-626.0,44.0,74.0,89.0,0.0,0.0,0.0,0.8643668831168831,0.9592592592592593,89.0,871.0,60.52899287894201,12.525458248472505,87.5,12.195121951219512,0.2032520325203252,982.0,981.0,99.89816700610999,0.0,99.79633401221996,349.5,257.0,277.0,308.0,602.0,721.0,0.5995171026156941,0.7597296494355318,1.0,1.0,1.0,309.0,729.0,1.325178389398573,57.30337078651685,91.5478615071283,8.146639511201629,0.20366598778004075,99.89837398373984,apdf,984.0,99.8982704949249,Lisbon Humberto Delgado Airport,38.7813,-9.13592,0.4994913524746245
37,EBCI,304.0,304.0,100.0,0.0,99.3421052631579,630.0,19.0,29.0,44.0,64.0,69.0,0.0,0.0,0.0,0.0,0.0,44.0,69.0,99.67105263157895,0.0,96.05263157894737,3.6184210526315788,0.32894736842105265,303.0,303.0,100.0,0.0,99.66996699669967,300.0,239.0,275.5,293.0,307.0,317.0,0.6814285714285715,0.8645833333333334,0.9983333333333333,1.0,1.0,293.0,319.0,2.9702970297029703,57.94701986754967,96.03960396039604,3.3003300330033003,0.6600660066006601,99.66996699669967,apdf,304.0,100.0,Brussels South Charleroi Airport,50.461963,4.459562,0.49916666666666665
38,EPWA,868.0,868.0,100.0,0.0,99.88479262672811,600.0,-12.499999999999986,9.0,29.0,44.0,64.0,0.0,0.0,0.0,0.0,0.020512820512820513,29.0,69.0,82.37327188940093,0.5767012687427913,91.01382488479263,8.410138248847927,0.576036866359447,870.0,866.0,99.54022988505747,0.0,99.77011494252874,240.0,239.0,279.0,301.0,323.0,339.0,0.6441964285714287,0.8833333333333333,1.0,1.0,1.0,302.0,341.5,2.1939953810623556,69.21296296296296,89.77011494252874,9.310344827586206,0.45977011494252873,99.88479262672811,apdf,870.0,99.77011494252874,Warsaw Chopin Airport,52.165699,20.9671,0.49885057471264366
39,LEAL,589.0,588.0,99.830220713073,0.0,99.830220713073,675.0,-5.0,-3.0,1.0,3.25,7.0,0.0,-0.0,0.0,0.0029007817669953005,0.00684962439971698,3.0,7.0,68.5374149659864,0.0,97.45331069609507,2.2071307300509337,0.1697792869269949,599.0,597.0,99.6661101836394,0.0,99.8330550918197,200.0,271.0,275.0,280.0,283.0,284.0,0.6975852804794564,1.0,1.0,1.0,1.0,280.0,285.0,1.5075376884422111,84.06040268456375,96.8280467445743,2.671118530884808,0.1669449081803005,99.8330550918197,apdf,599.0,99.7481654483562,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,0.49874082724178104
40,LSGG,678.0,676.0,99.70501474926253,1.0,100.0,720.0,14.0,29.0,44.0,64.0,81.5,0.0,0.0,0.0,0.0,0.0,49.0,104.0,92.75147928994083,0.2962962962962963,94.24778761061947,4.424778761061947,1.0324483775811208,666.0,664.0,99.69969969969969,1.0,100.0,240.0,276.0,299.0,331.5,419.0,467.0,0.9467777777777777,1.0,1.0,1.0,1.0,332.0,468.70000000000005,1.0542168674698795,89.74358974358974,94.74474474474475,4.054054054054054,0.9009009009009009,100.0,apdf,678.0,99.70235722448112,Geneva International Airport,46.238098,6.10895,0.4985117861224056
41,LIPE,380.0,378.0,99.47368421052632,0.0,93.6842105263158,660.0,18.0,38.0,63.0,133.0,323.0,0.0,0.0,0.0,0.0,0.0,68.0,327.50000000000017,94.97354497354497,0.0,96.3157894736842,2.8947368421052633,0.2631578947368421,375.0,374.0,99.73333333333333,0.0,95.46666666666667,208.5,178.3,228.25,256.5,270.0,300.0,0.6250774427943145,0.9393039749299027,1.0,1.0,1.0,257.0,300.7,1.8716577540106951,74.58100558659218,96.8,2.4,0.5333333333333333,95.46666666666667,apdf,380.0,99.60350877192982,Bologna Guglielmo Marconi Airport,44.5354,11.2887,0.49801754385964914
