icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
LPFL,6.0,6.0,100.0,0.0,0.0,600.0,3269.0,3285.25,3354.0,3505.25,3569.0,,,,,,3354.0,3569.0,100.0,,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,6.0,50.0,,,,
LPFR,399.0,399.0,100.0,0.0,87.96992481203007,600.0,-838.9999999999999,-646.0,-506.0,-246.0,-120.00000000000006,0.25166666666666665,0.42847222222222225,0.9547619047619048,1.0,1.0,511.0,852.0,1.2531328320802004,50.712250712250714,95.23809523809524,2.756892230576441,2.0050125313283207,407.0,407.0,100.0,0.0,90.41769041769042,300.0,479.0,530.5,571.0,619.0,698.0000000000003,1.0,1.0,1.0,1.0,1.0,571.0,704.4000000000001,0.2457002457002457,98.91304347826087,96.31449631449631,1.71990171990172,1.9656019656019657,90.41769041769042,apdf,407.0,100.0,0.9773809523809525,Faro - Gago Coutinho International Airport,37.015909,-7.970939
LPGR,1.0,1.0,100.0,0.0,0.0,600.0,2164.0,2164.0,2164.0,2164.0,2164.0,,,,,,2164.0,2164.0,100.0,,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,2.0,50.0,,,,
LPHR,16.0,16.0,100.0,0.0,0.0,300.0,1786.5,1894.0,2239.0,3331.5,6454.0,,,,,,2239.0,6454.0,100.0,,100.0,0.0,0.0,16.0,5.0,31.25,0.0,0.0,,-6071.8,-5989.0,-5954.0,-5908.0,-3551.7999999999997,,,,,,5954.0,6071.8,100.0,,31.25,0.0,0.0,0.0,nm_inferred,16.0,65.625,,,,
LPLA,33.0,33.0,100.0,0.0,0.0,300.0,1211.0,1329.0,1504.0,5439.0,5796.0,,,,,,1504.0,5796.0,100.0,,100.0,0.0,0.0,35.0,17.0,48.57142857142857,0.0,0.0,,-5818.6,-5607.0,-5378.0,-5023.0,-3279.799999999999,,,,,,5378.0,5818.6,100.0,,48.57142857142857,0.0,0.0,0.0,nm_inferred,35.0,74.28571428571428,,,,
LPMA,156.0,156.0,100.0,0.0,0.0,480.0,-538.5,2770.25,2969.0,3225.25,3384.0,,,,,,2969.0,3384.0,79.48717948717949,,17.307692307692307,82.6923076923077,0.0,157.0,157.0,100.0,0.0,0.0,,-3865.7999999999997,-3557.0,-3274.0,-3085.0,-2662.2,,,,,,3274.0,3865.8,93.63057324840764,,5.732484076433121,94.26751592356688,0.0,0.0,nm_inferred,157.0,100.0,,Cristiano Ronaldo International Airport,32.697812,-16.774613
LPPD,149.0,77.0,51.67785234899329,0.0,0.0,300.0,42.0,74.0,5199.0,5409.0,5690.000000000001,,,,,,5199.0,5690.000000000001,96.1038961038961,,26.845637583892618,24.161073825503355,0.6711409395973155,151.0,151.0,100.0,0.0,0.0,,-5154.0,-4726.0,242.0,291.5,310.0,,,,,,313.0,5154.0,41.05960264900662,,58.27814569536424,41.05960264900662,0.6622516556291391,0.0,nm_inferred,151.0,75.83892617449665,,João Paulo II Airport,37.7411994934,-25.6979007721
LPPI,16.0,16.0,100.0,0.0,0.0,600.0,1651.5,1717.75,1839.0,2206.5,4159.0,,,,,,1839.0,4159.0,100.0,,100.0,0.0,0.0,16.0,2.0,12.5,0.0,0.0,,-6066.4,-6005.5,-5904.0,-5802.5,-5741.6,,,,,,5904.0,6066.4,100.0,,12.5,0.0,0.0,0.0,nm_inferred,16.0,56.25,,,,
LPPM,6.0,6.0,100.0,0.0,0.0,600.0,-15.0,-10.5,11.5,115.25,351.5,,,,,,23.5,351.5,50.0,,50.0,0.0,50.0,5.0,5.0,100.0,0.0,0.0,,358.0,409.0,562.0,679.0,826.0,,,,,,562.0,826.0,0.0,,20.0,0.0,80.0,0.0,nm_inferred,6.0,100.0,,Portimão Airport,37.1493,-8.58396
LPPR,509.0,508.0,99.80353634577604,0.0,80.94302554027504,629.0,14.0,19.0,34.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,34.0,59.0,99.01574803149606,0.0,92.14145383104126,7.269155206286837,0.3929273084479371,508.0,507.0,99.80314960629921,0.0,84.25196850393701,353.5,251.0,261.0,280.0,295.0,307.0,0.5258823529411765,0.6764300708475466,0.8122977346278317,0.9716666666666667,1.0,280.0,307.0,0.7889546351084813,27.40046838407494,94.68503937007874,4.921259842519685,0.1968503937007874,84.25196850393701,apdf,509.0,99.80334297603763,0.4053501470385994,Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865
LPPS,13.0,13.0,100.0,0.0,0.0,360.0,141.0,354.0,2309.0,2674.0,2829.0,,,,,,2309.0,2829.0,100.0,,92.3076923076923,7.6923076923076925,0.0,13.0,13.0,100.0,0.0,0.0,,-3150.2,-3055.0,-2689.0,189.0,238.0,,,,,,2689.0,3150.2,61.53846153846154,,46.15384615384615,53.84615384615385,0.0,0.0,nm_inferred,13.0,100.0,,Porto Santo Airport,33.0733985901,-16.3500003815
LPPT,984.0,983.0,99.89837398373983,0.0,99.89837398373984,840.0,-865.0,-626.0,44.0,74.0,89.0,0.0,0.0,0.0,0.8643668831168831,0.9592592592592593,89.0,871.0,60.52899287894201,12.525458248472505,87.5,12.195121951219512,0.2032520325203252,982.0,981.0,99.89816700610999,0.0,99.79633401221996,349.5,257.0,277.0,308.0,602.0,721.0,0.5995171026156941,0.7597296494355318,1.0,1.0,1.0,309.0,729.0,1.325178389398573,57.30337078651685,91.5478615071283,8.146639511201629,0.20366598778004075,99.89837398373984,apdf,984.0,99.8982704949249,0.4994913524746245,Lisbon Humberto Delgado Airport,38.7813,-9.13592
